Weight	Action	Difference	Q Value	Reward
26.0	1	0.0024999999999977263	-124.9975	-1.0
26.0	1	0.0024750000000040018	-124.995025	-1.0
27.0	1	0.0024999999999977263	-124.9975	-1.0
27.0	1	0.0024750000000040018	-124.995025	-1.0
28.0	1	0.0024999999999977263	-124.9975	-1.0
28.0	1	0.0024750000000040018	-124.995025	-1.0
29.0	1	0.0024999999999977263	-124.9975	-1.0
30.0	1	0.0024999999999977263	-124.9975	-1.0
30.0	1	0.0024750000000040018	-124.995025	-1.0
31.0	1	0.0024999999999977263	-124.9975	-1.0
31.0	1	0.0024750000000040018	-124.995025	-1.0
32.0	1	0.0024999999999977263	-124.9975	-1.0
32.0	1	0.0024750000000040018	-124.995025	-1.0
33.0	1	0.0024999999999977263	-124.9975	-1.0
33.0	1	0.0024750000000040018	-124.995025	-1.0
34.0	1	0.0024999999999977263	-124.9975	-1.0
35.0	1	0.0024999999999977263	-124.9975	-1.0
35.0	1	0.0024750000000040018	-124.995025	-1.0
36.0	1	0.0024999999999977263	-124.9975	-1.0
36.0	1	0.0024750000000040018	-124.995025	-1.0
37.0	1	0.0024999999999977263	-124.9975	-1.0
37.0	1	0.0024750000000040018	-124.995025	-1.0
38.0	1	0.0024999999999977263	-124.9975	-1.0
38.0	1	0.0024750000000040018	-124.995025	-1.0
39.0	1	0.0024999999999977263	-124.9975	-1.0
39.0	1	0.0024750000000040018	-124.995025	-1.0
40.0	1	0.0024999999999977263	-124.9975	-1.0
41.0	1	0.0024999999999977263	-124.9975	-1.0
41.0	1	0.0024750000000040018	-124.995025	-1.0
42.0	1	0.0024999999999977263	-124.9975	-1.0
42.0	1	0.0024750000000040018	-124.995025	-1.0
43.0	1	0.0024999999999977263	-124.9975	-1.0
43.0	1	0.0024750000000040018	-124.995025	-1.0
44.0	1	0.0024999999999977263	-124.9975	-1.0
44.0	1	0.0024750000000040018	-124.995025	-1.0
45.0	1	0.0024999999999977263	-124.9975	-1.0
45.0	1	0.0024750000000040018	-124.995025	-1.0
46.0	1	0.0024999999999977263	-124.9975	-1.0
46.0	1	0.0024750000000040018	-124.995025	-1.0
47.0	1	0.0024999999999977263	-124.9975	-1.0
48.0	1	0.0024999999999977263	-124.9975	-1.0
48.0	1	0.0024750000000040018	-124.995025	-1.0
49.0	1	0.0024999999999977263	-124.9975	-1.0
49.0	1	0.0024750000000040018	-124.995025	-1.0
49.0	-1	0.0024999999999977263	-124.9975	-1.0
50.0	-1	0.0024999999999977263	-124.9975	-1.0
50.0	-1	0.0024750000000040018	-124.995025	-1.0
51.0	-1	0.0024999999999977263	-124.9975	-1.0
52.0	-1	0.0024999999999977263	-124.9975	-1.0
52.0	-1	0.0024750000000040018	-124.995025	-1.0
53.0	-1	0.0024999999999977263	-124.9975	-1.0
53.0	-1	0.0024750000000040018	-124.995025	-1.0
54.0	-1	0.0024999999999977263	-124.9975	-1.0
54.0	-1	0.0024750000000040018	-124.995025	-1.0
55.0	-1	0.0024999999999977263	-124.9975	-1.0
56.0	-1	0.0024999999999977263	-124.9975	-1.0
56.0	-1	0.0024750000000040018	-124.995025	-1.0
57.0	-1	0.0024999999999977263	-124.9975	-1.0
57.0	-1	0.0024750000000040018	-124.995025	-1.0
58.0	-1	0.0024999999999977263	-124.9975	-1.0
58.0	-1	0.0024750000000040018	-124.995025	-1.0
59.0	-1	0.0024999999999977263	-124.9975	-1.0
60.0	-1	0.0024999999999977263	-124.9975	-1.0
